product,price,type,uuid
British Salted Block Butter 250G,1.48,fresh-food,5651
British Unsalted Butter 250G,1.48,fresh-food,13824
Gala Apple Minimum 5 Pack,1.6,fresh-food,17407
Blueberries 250G,3.0,fresh-food,8560
Red Seedless Grapes 500G,2.0,fresh-food,26352
Maris Piper Potatoes 2.5Kg,1.15,fresh-food,17910
2 Boneless Salmon Fillets 260G,3.5,fresh-food,38837
British Chicken Breast Portions 650G,3.75,fresh-food,6954
Clementine Or Sweet Easy Peeler Pack 600G,1.35,fresh-food,26820
Raspberries 150G,2.0,fresh-food,49701
Little Gem Lettuce Twin Pack,0.85,fresh-food,45061
"British Semi Skimmed Milk 1.13L, 2 Pints",0.89,fresh-food,35925
Baby Plum Tomatoes 325G,1.0,fresh-food,35566
Sweet Peppers 500G,1.35,fresh-food,53646
Brown Onions Minimum 3 Pack 385G,0.85,fresh-food,11726
Rosedene Farms Small Apple 6 Pack,0.79,fresh-food,7244
"British Skimmed Milk 2.272L, 4 Pints",1.15,fresh-food,46361
Ripe & Ready Avocado,0.7000000000000001,fresh-food,26335
Lemons Each,0.30000000000000004,fresh-food,47290
Salad Tomatoes 6 Pack,0.75,fresh-food,53480
Small Bananas 6 Pack,0.68,fresh-food,39686
"British Semi Skimmed Milk 2.272L, 4 Pints",1.15,fresh-food,14588
Ripe Bananas 5 Pack,0.6900000000000001,fresh-food,35527
Whole Cucumber Each,0.43,fresh-food,57741
Cadbury Chocolate Mini Roll 10 Pack,2.9,bakery,24737
New York Bakery Plain Bagels 5 Pack,2.9,bakery,52196
Soreen Original Malt Loaf 260G,1.2,bakery,59564
Hovis Original 7 Seeds Bread 800G,1.6,bakery,46547
8 Plain Tortilla Wraps,0.9500000000000001,bakery,49742
4 Brioche Buns,0.6900000000000001,bakery,50775
Warburtons Crumpets 6 Pack,0.9,bakery,33067
Hovis Soft White Thick Bread 800G,0.99,bakery,50576
Hovis Soft White Medium Bread 800G,0.99,bakery,27893
Warburtons Farmhouse White Bread 800G,1.2,bakery,52972
Kingsmill 50/50 Medium Bread 800G,0.85,bakery,3628
Hovis Wholemeal Medium Bread 800G,0.99,bakery,51974
Warburtons Crumpets 9 Pack,1.0,bakery,17670
Hovis Best Of Both Medium White Bread 750G,0.85,bakery,48361
Soft White Rolls 6 Pack,0.7000000000000001,bakery,36427
Finest Super Seeded Farmhouse Loaf 800G,1.1,bakery,12612
Large Seeded Burger Buns 4 Pack,0.7000000000000001,bakery,33533
Warburtons Medium Sliced White Bread 800G,1.1,bakery,27787
Original Bagels 5 Pack,0.79,bakery,43836
Warburtons Fruit Teacakes 4 Pack,0.9,bakery,55757
Chocolate Chip Brioche Rolls 8 Pack,1.0,bakery,52269
Warburtons Toastie Sliced White Bread 800G,1.1,bakery,31297
Wholemeal Pitta Bread 6 Pack,0.35000000000000003,bakery,4992
White Pitta Bread 6 Pack,0.35000000000000003,bakery,23479
Mccain Extra Chunky Home Chips 1Kg,2.5,frozen-food,34797
Mccain Home Chips Straight Cut 1.6Kg,3.29,frozen-food,11426
Magnum Classic Ice Cream 4 X110ml,3.0,frozen-food,54600
Mccain Crispy French Fries 1.4Kg,3.0,frozen-food,38518
Frozen Summer Fruits Mix 500G,2.2,frozen-food,41428
Rowntrees Fruit Pastilles Lollies 4X65ml,1.9,frozen-food,22633
Stonebaked Thin Four Cheese Pizza 330G,1.45,frozen-food,36126
Stonebaked Thin Double Pepperoni Pizza 330G,1.45,frozen-food,53432
Carte D'or Vanilla Ice Cream Dessert 1L,3.5,frozen-food,1614
Twister Mini Ice Cream Lolly 8 X 50Ml,1.9,frozen-food,42885
Frozen Raspberries 350G,2.0,frozen-food,55306
The Ice Co. Ice Cubes 2Kg,1.0,frozen-food,60918
Mashed Potato 900G,1.3,frozen-food,13222
4 Southern Fried Chicken Steaks 380G,1.65,frozen-food,39962
Frozen Diced Onions 500G,1.0,frozen-food,29445
Homestyle Straight Cut Oven Chips 950G,1.4,frozen-food,32
Stonebaked Ham & Pineapple Pizza 375G,1.45,frozen-food,51583
10 Omega 3 Fish Fingers 300G,1.2,frozen-food,24056
Steak Oven Cut Chips 1.5Kg,1.5,frozen-food,7737
Hash Browns 750G,1.2,frozen-food,64051
Crinkle Cut Oven Chips 1.5Kg,1.5,frozen-food,23587
30 Breaded Chicken Nuggets 450G,1.5,frozen-food,43692
Rocket Lollies 8 Pack 464Ml,1.0,frozen-food,64049
10 Garlic Bread Slices 260G,1.0,frozen-food,19902
Mcvitie's Jaffa Cakes Triple Pack 30 Cakes,2.0,food-cupboard,2648
Jacobs Mini Cheddars Original 6X25g,1.5,food-cupboard,41765
Kellogg's Crunchy Nut Corn Flakes Cereal 500G,3.0,food-cupboard,46366
Cadbury Twirl Chocolate Multipack 4 X34g,3.0,food-cupboard,39702
Cadbury Dairy Milk Chocolate Bar 110G,0.98,food-cupboard,43391
Kit Kat 2 Finger Milk Chocolate Biscuits 9 Pack 186.3G,1.5,food-cupboard,35126
Chickpeas In Water 400G,0.55,food-cupboard,57458
Cadbury Dairy Milk Chocolate Bar 200G,1.8,food-cupboard,62913
Batchelors Super Noodles Chicken 90G,0.6000000000000001,food-cupboard,32306
Red Kidney Beans In Water 400G,0.55,food-cupboard,28451
Twix Biscuit 9 Pack 207G,1.5,food-cupboard,10921
Branston Baked Beans In Tomato Sauce 410G,0.65,food-cupboard,15555
Cream Of Tomato Soup 400G,0.45,food-cupboard,35773
Walkers Ready Salted Crisps 6 X 25 G,1.5,food-cupboard,8334
Kp Skips Prawn Cocktail Crisps 6 X 13.1G,0.99,food-cupboard,42405
Microwave Basmati Rice 250G,0.35000000000000003,food-cupboard,65180
Pride Coconut Milk 400Ml,1.0,food-cupboard,30026
Seabrook Cut Sea Salted Crisps 6 Pack,0.99,food-cupboard,49522
Naturally Sweet Sweetcorn 200G,0.45,food-cupboard,63381
Cadbury Dairy Milk Giant Buttons 119G,1.0,food-cupboard,12543
Granulated Sugar 1Kg,0.65,food-cupboard,36057
Heinz Beanz In Tomato Sauce 415G,0.85,food-cupboard,35254
Fusilli Pasta Twists 1Kg,1.1,food-cupboard,53728
Heinz Cream Of Tomato Soup 400G,0.9500000000000001,food-cupboard,24832
Pepsi Max 24 X 330Ml,8.5,drinks,38204
Coca Cola Coke Zero 24X330ml,8.5,drinks,14667
Diet Coke 24 X 330Ml Pack,8.5,drinks,52831
Highland Spring Still Bottled Water 12 X 500Ml,3.0,drinks,24958
Pepsi Max Cola 2 Litre Bottle,1.5,drinks,43094
Plaza Centro Prosecco 75Cl,7.0,drinks,55439
Pinot Grigio 75Cl,4.5,drinks,19394
Schweppes Slimline Tonic Water 1Litre,1.5,drinks,31458
Coca Cola Zero 2 Litre,1.77,drinks,8309
Diet Coke 2L,1.77,drinks,6133
Pineapple Paradise Fruit Smoothie 750Ml,1.3,drinks,10132
Green Escape Smoothie 750Ml,1.3,drinks,41109
Pomegranate Crush Fruit Smoothie 750Ml,1.3,drinks,25070
Soda Water 1Litre,0.6000000000000001,drinks,41371
Tropicana Orange Juice Smooth 950 Ml,2.48,drinks,4284
Low Calorie Indian Tonic Water 1Litr,0.6000000000000001,drinks,14679
100% Pressed Apple Juice 1 Litre,1.25,drinks,52381
Low Calorie Indian Tonic Water With Lemon 1Lt,0.6000000000000001,drinks,11921
Xero Cola 2 Litre,0.5,drinks,5049
Sparkling Water Lemon & Lime 1 Litre,0.5,drinks,61107
Indian Tonic Water 1L,0.6000000000000001,drinks,42234
Low Calorie Indian Tonic Water With Lime 1Lt,0.6000000000000001,drinks,52171
Sparkling Water Apple & Raspberry 1 Litre,0.5,drinks,33464
Growers Harvest Pure Apple Juice 1 Litre,0.6900000000000001,drinks,23056
Huggies Pure Baby Wipes Fragrance Free 12 Packs X56 Wipes,8.0,baby,60263
Pampers Baby Dry Pants Essential Pack Size 6 28 Nappies,7.0,baby,552
Pampers Baby Dry Pants Essential Pack Size 5 33 Nappies,7.0,baby,2172
Cow & Gate 1 First Milk Powder 800G,8.75,baby,29082
Comfort Pure Fabric Conditioner 85 Wash 3L,4.0,baby,1750
Fred & Flo Cotton Wool Square Pads 50S,1.75,baby,62726
Milton Antibacterial Surface Wipes X30,2.0,baby,8557
Andrex Classic Clean Washlets 40 Refill Wipes,1.5,baby,25737
Aptamil 1 First Milk Multipack 4X200ml Ready To Feed Liquid,3.5,baby,41069
Palmolive Aquarium Handwash 300Ml,0.9,baby,52529
Luxury Soft Coconut Oil 40 Flushable Wipes,0.7000000000000001,baby,18633
Antiseptic Wipes 10'S,0.9500000000000001,baby,3431
Luxury Soft Sensitive 40 Flushable Wipes,0.7000000000000001,baby,14117
Luxury Soft Spring Fresh 40 Flushable Wipes,0.7000000000000001,baby,54442
Johnson's Baby Powder 500G,2.35,baby,7969
Fred & Flo Antibacterial Surface Wipes 30'S,1.25,baby,26558
Johnson's Baby Shampoo 500Ml,2.35,baby,46063
Fred & Flo 100 Cotton Wool Balls,1.3,baby,18016
Fred & Flo 56 Biodegradable Extra Sensitive Wipes,1.3,baby,41218
Fred & Flo 60 Sensitive Toilet Wipes,0.7000000000000001,baby,885
Fred & Flo Baby Bedtime Bath 500Ml,1.0,baby,25592
Kiddylicious Raspberry Crispie Tiddlers 12G,0.6000000000000001,baby,15921
Pampers Sensitive Baby Wipes 52 Pack,0.85,baby,37577
Huggies Pure Baby Wipes Fragrance Free Sngle Pack 56 Wipes,0.9,baby,3058
Oral-B 3D White Arctic Fresh Toothpaste 75Ml,1.99,health-and-beauty,6458
Colgate Total Whitening Toothpaste 125Ml,2.5,health-and-beauty,43632
Colgate Total Original Care Toothpaste 125Ml,2.5,health-and-beauty,1584
Colgate Plax Soft Mint Mouthwash 500Ml,1.85,health-and-beauty,48274
Colgate Plax Cool Mint Mouthwash 500Ml,1.85,health-and-beauty,25764
Hayfever/Allergy Relief 14S,1.8,health-and-beauty,48607
Colgate Deep Clean Whitening Toothpaste 125Ml,3.8,health-and-beauty,29991
Sure Men Invisible Ice Fresh Antiperspirant Deodorant 250Ml,1.46,health-and-beauty,13009
Original Source Lime Shower Gel 250Ml,1.0,health-and-beauty,57525
Sure Women Cotton Dry Antiperspirant Deodorant 250Ml,1.46,health-and-beauty,28275
Sure Women Invisible Pure Antiperspirant Deodorant 250Ml,1.46,health-and-beauty,63594
Piriteze Allergy Antihistamine Tablets 14S,5.5,health-and-beauty,15694
Dove Intensive Repair Conditioner 350Ml,1.79,health-and-beauty,27376
Dove Intensive Repair Shampoo 400Ml,1.79,health-and-beauty,1960
Sure Men Active Dry Antiperspirant Deodorant 250Ml,1.46,health-and-beauty,21511
Sure Men Sensitive Antiperspirant Deodorant 250Ml,1.46,health-and-beauty,25652
Original Source Vanilla Raspberry Shower Gel 250Ml,1.0,health-and-beauty,46027
Dove Deeply Nourishing Body Wash 450Ml,1.9500000000000002,health-and-beauty,30113
Original Source Mint Shower Gel 250Ml,1.0,health-and-beauty,16744
Kleenex 40 Water Fresh Antibacterial Wet Wipes,2.0,health-and-beauty,29284
Baylis & Harding Antibacterial Jasmine Hand Wash 500Ml,2.0,health-and-beauty,41181
Carex Handwash Moisture Plus 250Ml,0.99,health-and-beauty,49258
Baylis & Harding Mandarin & Grapefruit Hand Wash 500Ml,2.0,health-and-beauty,11836
Sani Hands Anti-Bacterial 12 Hand Wipes,1.5,health-and-beauty,28474
Catsan Cat Litter 20L,12.0,pets,6796
Felix Cat Food Mixed Selection In Jelly 40X100g,11.0,pets,54369
Felix As Good As It Looks Cat Food Mixed Selection 40X100g,13.0,pets,17914
Felix As Good As It Looks Cat Food Ocean Feasts 40X100g,13.0,pets,39073
Felix As Good As It Looks Food Doubly Delicious Meat 12X100g,4.0,pets,13413
Felix As Good As It Looks Cat Food Doubly Delicious Fish 12X100g,4.0,pets,63618
Whiskas 1+ Cat Food Pouches Poultry in Jelly 40x100g,10.49,pets,31803
Absorbent Wood Light Weight Cat Litter 10L,4.5,pets,44662
Catsan Cat Litter 10L,6.5,pets,27732
Felix Cat Food Fish Selection In Jelly 12 X 100G,3.65,pets,46636
28 Dental Sticks Medium Dog 720G,2.95,pets,27610
Good Boy Chicken Twists Dog Chew Treats 70G,2.0,pets,12388
Dog Poop Bags 75'S,1.65,pets,3776
Lightweight Cat Litter 10L,1.65,pets,56792
Whiskas 7+ Fish Jelly Pouch Senior Cat Food 12X100g,3.29,pets,60791
Wild Bird Food Suet Tray 300G,0.75,pets,36088
Gourmet Mon Petit Fish Selection 6X50g,1.75,pets,46980
Small Bite Biscuit Bone Selection 800,1.5,pets,35319
Salami Dog Treats 5 X11g,1.0,pets,43875
Chappie Dog Food Tins Favourites 6x412g,4.5,pets,57085
Webbox Chicken Lick-E-Lix Cat Treats 5 X15g,1.0,pets,23339
7 Dental Sticks Medium Dog 180G,0.75,pets,4367
Meaty Strips Chicken Dog Treats 200G,0.8,pets,60756
Good Boy Antibacterial Degradable Poo Bags X 100,1.0,pets,59734
Luxury Soft 24 Roll White,7.6,household,48466
Andrex Toilet Tissue Gentle Clean 24 Roll,9.75,household,60151
Plenty White Kitchen Roll 200 Sheets,3.75,household,41231
Plenty The Original One Kitchen Towels 400 Sheets,6.0,household,35731
Luxury Soft Toilet Tissue 9 Roll Quilted,3.1,household,46067
Tie Top Compostable Caddy Liners 20 Pack 10L,1.6,household,25502
Regina Kitchen Towels Blitz 2 Rolls,3.75,household,59580
Regina Blitz Kitchen Towel 1 Roll,2.25,household,39584
Tie Top Bin Bags 50L X 20 Pack,2.5,household,13573
Luxury Soft Toilet Tissue 9 Roll White,2.95,household,2846
Drawstring Swing Bin Liners 30 Pack (50L),1.55,household,53453
Kleenex Extra Large Compact Twin 44Sc X 2,2.0,household,28174
Dettol Multi Purpose Citrus Wipes 30S,1.0,household,37445
Multi Surface Wipes 40'S,1.0,household,40954
Andrex Classic Clean Washlets 40 Refill Wipes,1.5,household,20944
Citrus Antibacterial Wipes 40 Wipes,1.0,household,16846
Luxury Soft Toilet Tissue 4 Roll White,1.0,household,3410
Dishwasher Salt Granules 3Kg,1.7000000000000002,household,46225
Plenty White Kitchen Roll 100 Sheets,2.0,household,52022
Dettol Surface Cleanser Antibacterial Spray 500 Ml,1.15,household,64782
Luxury Soft Sensitive 40 Flushable Wipes,0.7000000000000001,household,25983
Kitchen Foil 10M X 290Mm,1.25,household,17440
Soft Regular Tissues 72S,1.25,household,36381
Zoflora Disinfectant Fragranced 120Ml,1.3,household,20301
Brita Maxtra Plus Cartridges 3 Pack,16.0,home-and-ents,4227
Duracell AA 8 Pack,7.5,home-and-ents,49315
Gold Leaf Jps 50G,21.0,home-and-ents,61457
Golden Virginia Original 50G,27.65,home-and-ents,42932
Nuco Spectrum B5 Notebook,3.5,home-and-ents,13484
Amber Leaf Roll Your Own 50G,27.65,home-and-ents,51708
Duracell Plus AA 4 Pack,4.25,home-and-ents,39193
L&B Blue Real Blue 20 Pack,9.5,home-and-ents,18736
Lambert & Butler Original Silver 20 Pack,10.8,home-and-ents,28285
Players Real Red Superking 20 Pack,9.5,home-and-ents,23711
Rothmans Superking Blue 20 Pack,9.5,home-and-ents,12132
Swan Menthol Extra Slim Filters 120 Pack,1.03,home-and-ents,52120
Swan Extra Slim Filter Tips 120 Pack,1.0,home-and-ents,54698
Multipurpose Paper 80Gsm 500 Sheets,3.5,home-and-ents,18940
De-Ionised Water 2.5L,1.5,home-and-ents,47439
Miracle Gro All Purpose Lqd Plant Food 1L,4.0,home-and-ents,14428
Swan Slim Loose Filters 165Pk,0.88,home-and-ents,31614
First Class Stamps 12 Pack,10.2,home-and-ents,28028
Bryant & May Extra Long Matches Av 45 Matches,1.0,home-and-ents,57769
Rizla Green Papers Multi 5 Pack,1.13,home-and-ents,23876
A4 White Paper 500 Sheets 70Gsm,2.85,home-and-ents,39324
Miracle Gro Soluble Plant Food 1Kg,4.0,home-and-ents,17707
Paper Plates White 23Cm 50 Pack,1.0,home-and-ents,23858
The Original Cooks Matches Av 220 Matches,1.0,home-and-ents,25512
